Data;Preco
27/04/2017;R$ 3.52
28/04/2017;R$ 3.49
01/05/2017;R$ 3.46
02/05/2017;R$ 3.46
03/05/2017;R$ 3.46
04/05/2017;R$ 3.52
05/05/2017;R$ 3.54
08/05/2017;R$ 3.47
09/05/2017;R$ 3.44
10/05/2017;R$ 3.49
11/05/2017;R$ 3.46
12/05/2017;R$ 3.55
15/05/2017;R$ 3.45
16/05/2017;R$ 3.45
17/05/2017;R$ 3.43
18/05/2017;R$ 3.52
19/05/2017;R$ 3.47
22/05/2017;R$ 3.43
23/05/2017;R$ 3.40
24/05/2017;R$ 3.46
25/05/2017;R$ 3.48
26/05/2017;R$ 3.46
29/05/2017;R$ 3.38
30/05/2017;R$ 3.39
31/05/2017;R$ 3.34
01/06/2017;R$ 3.45
02/06/2017;R$ 3.62
05/06/2017;R$ 3.29
06/06/2017;R$ 3.32
07/06/2017;R$ 3.40
08/06/2017;R$ 3.43
09/06/2017;R$ 3.43
12/06/2017;R$ 3.33
13/06/2017;R$ 3.36
14/06/2017;R$ 3.45
15/06/2017;R$ 3.44
16/06/2017;R$ 3.48
19/06/2017;R$ 3.35
20/06/2017;R$ 3.27
21/06/2017;R$ 3.37
22/06/2017;R$ 3.38
23/06/2017;R$ 3.50
26/06/2017;R$ 3.33
27/06/2017;R$ 3.35
28/06/2017;R$ 3.31
29/06/2017;R$ 3.36
30/06/2017;R$ 3.56
03/07/2017;R$ 3.30
04/07/2017;R$ 3.28
05/07/2017;R$ 3.35
06/07/2017;R$ 3.32
07/07/2017;R$ 3.48
10/07/2017;R$ 3.27
11/07/2017;R$ 3.31
12/07/2017;R$ 3.24
13/07/2017;R$ 3.35
14/07/2017;R$ 3.35
17/07/2017;R$ 3.23
18/07/2017;R$ 3.25
19/07/2017;R$ 3.28
20/07/2017;R$ 3.31
21/07/2017;R$ 3.32
24/07/2017;R$ 3.57
25/07/2017;R$ 3.59
26/07/2017;R$ 3.61
27/07/2017;R$ 3.62
28/07/2017;R$ 3.61
31/07/2017;R$ 3.55
01/08/2017;R$ 3.58
02/08/2017;R$ 3.64
03/08/2017;R$ 3.56
04/08/2017;R$ 3.57
07/08/2017;R$ 3.58
08/08/2017;R$ 3.58
09/08/2017;R$ 3.60
10/08/2017;R$ 3.61
11/08/2017;R$ 3.60
14/08/2017;R$ 3.58
15/08/2017;R$ 3.59
16/08/2017;R$ 3.62
17/08/2017;R$ 3.62
18/08/2017;R$ 3.61
21/08/2017;R$ 3.62
22/08/2017;R$ 3.63
23/08/2017;R$ 3.61
24/08/2017;R$ 3.67
25/08/2017;R$ 3.77
28/08/2017;R$ 3.63
